date,Date,arrivals,departures
1/12/2019,12/01/2019,1889300,2240340
1/01/2020,1/01/2020,2257280,1974400
1/02/2020,2/01/2020,1568650,1294290
1/03/2020,3/01/2020,921950,834950
1/04/2020,4/01/2020,21170,62460
1/05/2020,5/01/2020,19120,34950
1/06/2020,6/01/2020,25120,39260
1/07/2020,7/01/2020,17260,55740
1/08/2020,8/01/2020,14940,59620
1/09/2020,9/01/2020,16200,48490
1/10/2020,10/01/2020,23710,45810
1/11/2020,11/01/2020,29330,44240
1/12/2020,12/01/2020,34670,49100
1/01/2021,1/01/2021,31160,41860
1/02/2021,2/01/2021,25210,31970
1/03/2021,3/01/2021,31990,31310
1/04/2021,4/01/2021,53910,63920
1/05/2021,5/01/2021,114520,107230
1/06/2021,6/01/2021,102480,98350
1/07/2021,7/01/2021,74860,87020
1/08/2021,8/01/2021,27020,37240
1/09/2021,9/01/2021,18850,30330
1/10/2021,10/01/2021,16630,36830
1/11/2021,11/01/2021,72260,91120
1/12/2021,12/01/2021,196170,227240
1/01/2022,1/01/2022,265260,188210
1/02/2022,2/01/2022,271280,176260
1/03/2022,3/01/2022,374630,335240
1/04/2022,4/01/2022,573930,606710
1/05/2022,5/01/2022,650520,659860
1/06/2022,6/01/2022,730400,880860
1/07/2022,7/01/2022,1081610,968490
1/08/2022,8/01/2022,1027700,942210
1/09/2022,9/01/2022,1071520,1040550
1/10/2022,10/01/2022,1212850,1014820
1/11/2022,11/01/2022,1189920,1177430
1/12/2022,12/01/2022,1260550,1515290
1/01/2023,1/01/2023,1608010,1376850
1/02/2023,2/01/2023,1375520,1068410
1/03/2023,3/01/2023,1344580,1324360
1/04/2023,4/01/2023,1370470,1425150
1/05/2023,5/01/2023,1296710,1359250
1/06/2023,6/01/2023,1357680,1556710
1/07/2023,7/01/2023,1743390,1494520
1/08/2023,8/01/2023,1544700,1516500
1/09/2023,9/01/2023,1602720,1589500
1/10/2023,10/01/2023,1742840,1479380
1/11/2023,11/01/2023,1562520,1591640
1/12/2023,12/01/2023,1704730,2027740
1/01/2024,1/01/2024,2122070,1745840
1/02/2024,2/01/2024,1786650,1491730
1/03/2024,3/01/2024,1614830,1709930
1/04/2024,4/01/2024,1634580,1650280
1/05/2024,5/01/2024,1478410,1559320
1/06/2024,6/01/2024,1525610,1762410
1/07/2024,7/01/2024,1925260,1650530
1/08/2024,8/01/2024,1656470,1694440
1/09/2024,9/01/2024,1733340,1796550
1/10/2024,10/01/2024,1939260,1658170
1/11/2024,11/01/2024,1706490,1776340
1/12/2024,12/01/2024,1853030,2262020
1/01/2025,1/01/2025,2383330,2031060
1/02/2025,2/01/2025,1870730,1517920
1/03/2025,3/01/2025,1688650,1669390
1/04/2025,4/01/2025,1763390,1925790
1/05/2025,5/01/2025,1659520,1679750
1/06/2025,6/01/2025,1618090,1813440
1/07/2025,7/01/2025,2068460,1819770
1/08/2025,8/01/2025,1809810,1834620
1/09/2025,9/01/2025,1830370,1921380
1/10/2025,10/01/2025,2100730,1812770
1/11/2025,11/01/2025,1849990,1910030
1/12/2025,12/01/2025,1996200,2451810
1/01/2026,1/01/2026,2519500,2098140
1/02/2026,2/01/2026,1986720,1675760
